"concept","cuis","rep_cuis","excluded_cuis","cc"
"$nmbr$ non mtx","C0025677;C1417487;C1518422","C0025677","",1408
"no of $nmbr$ mg acetaminophen tablets day","C0439422;C1243102","","",198
"coronary artery disease n $nmbr$ $nmbr$","C0010054;C0010068;C1956346","C0010068;C1956346",";C0026410;C1710701",226
"race n","C0034510;C1706779;C3853635",";C0034510","",1107
"$nmbr$ l l $nmbr$","C3539687","","",-10
"adverse outcome","C1274040",NULL,NULL,1602
"time since qualifying event","C0040223;C0441471;C1514624;C3541383;C4019010",NULL,NULL,412
"aspirin n","C0004057","C0004057","",1366
"non hdl cholesterol mmol l","C0729627;C1532563;C1535899","C0023822","",821
"chronic obstructive pulmonary disease no","C0024117",NULL,NULL,1726
"sitting diastolic blood pressure mm hg","C0439475;C1319894","C0005823","",1469
"lvef","C0428772;C0488728","C0018801;C0428772","",1273
"ejection fraction category","C0489482;C0683312;C2700378;C3889287","C2700378","",887
"gp iib iiia inhibitors","C0016011;C0243077",NULL,NULL,808
"gold b","C0018026;C1304897","C0024117;C0521117","",213
"bronchodilator response ml","C0006280;C0439526;C0871261;C1704632;C1705224;C1706817;C2911692;C3887665",NULL,NULL,726
"os domain","C0229090;C0230028;C0262950;C0393706;C1561953;C1880389;C1883221;C3541951",NULL,NULL,130
"combined macro micro","C0085672;C0205195;C1553035;C2984010;C3811161;C4049106",NULL,NULL,997
"methotrexate use at baseline","C0025677;C0042153;C0168634;C0457083;C1442488;C1947944",NULL,NULL,625
"skull and facial bone fractures","C0015455;C0016658;C0037303;C2951888",NULL,NULL,2028
"no high intensity statin","C0360714;C4081854","C0360714","",872
"moderate low","C0205081;C0205251;C1550472;C1881878;C3890211;C4048187;C4049705;C4049706;C4085643;C4321335;C4321351;C4522223",NULL,NULL,851
"total back pain $nmbr$ $nmbr$ mm vas mean sd","C0004600;C0042815;C0205095;C0439175;C0439810;C0444504;C0460009;C1995000;C2347634;C2348143;C2699239;C4330985;C4554674",NULL,NULL,297
"any blood pressure medications","C0005823;C0013227;C0033095;C0460139;C0802604;C0849164;C1271104;C1272641;C1306345;C2598133;C4284008;C4284232",";C0003364","",1579
"temporary factors","C0205374;C1521761;C1548539;C2827422;C3245481",NULL,NULL,1111
"prior coronary artery bypass surgery","C0010055;C0332152;C2826257","C0010055","",389
"patients assessed","C0030705;C1516048",NULL,NULL,1035
"fondaparinux","C1098510","C1098510","",859
"fibrinolysis primary pci n $nmbr$ n $nmbr$ no of patients total no","C0016017;C0030705;C0205225;C0439175;C0439612;C0439631;C0439810;C1305868;C4049621",NULL,NULL,2340
"week $nmbr$ n j","C0332174;C0439230",NULL,NULL,1012
"gpiib iiia inhibitors","C0016011;C0243077",NULL,NULL,808
"type of concomitant statin by daily dose no","C0332307;C0360714;C0521115;C1547052;C2348070","C0360714","",872
"dabigatran $nmbr$ mg","C0024671;C0026410;C0439269;C1960952;C2346927;C2348066;C4321396;C4521761",NULL,NULL,775
"glargine $nmbr$","C0907402","C0907402",";C1998602;C0004446;C0005126;C2344255;C4050145;C0229089;C0439164;C1512019;C3273373;C3665488",69
"class iv glomerulonephritis","C0017658;C0441888;C2698970",NULL,NULL,2103
"myalgia","C0231528;C4552646",NULL,NULL,59
"on sulfonylurea","C0038766;C3536898","C0038766","",752
"white tcz mtx n","C0007457;C0025677;C0043157;C0220938;C1417487",NULL,NULL,84
"systolic bp mmhg sd","C0439475;C0871470;C2699239","C0005823","",1469
"hdl cholesterol $nmbr$ men or $nmbr$ mg dl women","C0023822;C0025266;C0043210;C0392885;C0439269","","",-10
"betablocker use","C0001645;C0042153;C0457083;C1947944","C0001645","",959
"caleitonin ng l males mean sd","C0086582;C0439297;C0444504;C2347634;C2348143;C2699239",NULL,NULL,2109
"global assessment of disease status score","C0281858;C0449820;C3176928;C4050231",NULL,NULL,98
"score on nih stroke scale median iqr","C0449820;C0549183;C0876920;C1697238;C2347635;C2348144;C2939193;C3484372;C4050231",NULL,NULL,635
"ics laba subset","C0815320;C1515021;C4551720",NULL,NULL,2193
"apolipoprotein e carrier","C0003595;C0007294;C0560175;C1325398;C1706209;C3273162",NULL,NULL,784
"h $nmbr$ blocker n long term vka therapy","C0033727;C0039798;C0087111;C0369286;C0441932;C0443252;C0564385;C1363945;C4528284",NULL,NULL,236
"estimated glomerular filtration rate ml min median iqr","C0439445;C0549183;C0876920;C2347635;C2348144;C2939193;C3811844","C3811844;C0017654","",592
"less than high school","C0439092;C0599395;C0683862;C0870649","C0870649","",838
"$nmbr$ year predicted risk of","C0035647;C0439234;C0439508;C0681842;C1882327;C4552904",NULL,NULL,1099
"atenolol use at $nmbr$ month","C0004147;C0042153;C0332177;C0439231;C0457083;C1947944",NULL,NULL,1476
"any overt bleed","C0019080",NULL,NULL,707
"at any time","C0040223;C3541383",NULL,NULL,757
"abbreviations ace angiotensin converting enzyme iqr interquartile range ml myocardial infarction si conversion to convert creatinine clearance to ml s multiply by $nmbr$ $nmbr$ data are expressed as no total unless otherwise specified festimated using cockroft gault equation tthe timi risk score was used to categorize patients at low $nmbr$ $nmbr$ intermediate $nmbr$ $nmbr$ and high $nmbr$ $nmbr$ risk $nmbr$","C0000723;C0021308;C0022709;C0027061;C0030705;C0035647;C0040363;C0041260;C0205103;C0205250;C0205251;C0205369;C0439175;C0439390;C0439526;C0439810;C0439836;C0449820;C0552449;C0812399;C0871968;C1273517;C1299351;C1511726;C1514721;C1522564;C1524063;C1550465;C1550472;C1705224;C1719797;C1883351;C2348147;C2700149;C2827755;C2911648;C3245479;C3542016;C3714741;C3887512;C3887665;C3889660;C3889971;C3890211;C4048187;C4050231;C4321237;C4321351;C4522209;C4522223;C4552904",NULL,NULL,748
"acr $nmbr$","C1412134;C1515941",NULL,NULL,52
"previous dmards mean sd","C0205156;C0242708;C0444504;C1552607;C2347634;C2348143;C2699239",NULL,NULL,37
"incidence rate","C1708485","C1708485","",1106
"patients randomized no","C0030705;C0034656;C3815594",NULL,NULL,692
"olmesartan along with diuretic n $nmbr$","C0012798;C1098320","C1098320","",2087
"age when diabetes first diagnosed years mean sd","C0001779;C0011847;C0011849;C0011900;C0205435;C0439234;C0444504;C1279901;C2347634;C2348143;C2699239",NULL,NULL,1907
"any oral hypoglycemic drug no","C0359086","C0020616",";C0013227;C3244316;C4284232;C0450442;C1254351;C1515187;C1521826;C2826257",33
"asa use at baseline n","C0004057;C0042153;C0168634;C0457083;C1442488;C1947944;C3853627",NULL,NULL,60
"overall ctd","C0282416;C1335071;C1442905;C1561607",NULL,NULL,1743
"prior tnf antagonist treatment no","C0231491;C1448177;C1514463",NULL,NULL,574
"former","C0205156;C0750523",NULL,NULL,13
"group d high risk more symptoms n","C0332167;C0441848;C0683368;C1457887;C3272283;C4050568;C4319571","C4319571","",837
"nitrate no","C0028125;C0699857;C3848573",NULL,NULL,537
"coronar y artery disease","C0852949",NULL,NULL,786
"rs chest symptomsd","C0035970;C0817096;C1527391;C3714753;C3813325","","",-10
"sexually active","C0241028",NULL,NULL,497
"eosinophil count cells microlitre","C0200638;C0439378;C0750879",NULL,NULL,662
"visit $nmbr$ dbp mm hg","C0439475;C0536221;C0545082;C1512346;C2826704;C3813197;C4281799",NULL,NULL,605
"mean sd on loge scale u ml","C0175659;C0349674;C0439340;C0444504;C1880521;C1947916;C2347634;C2348143;C2697934;C2699239;C2945590",NULL,NULL,37
"randomized to receive beta carotene","C0034656;C0040363;C0041260;C0053396;C0696105;C1514756;C1883351;C3815594","C0053396","",2233
"fdc $nmbr$ $nmbr$ g n $nmbr$","C0340427;C0439267;C1413520;C3539652",NULL,NULL,1077
"mostly dissatisfied","C0205393;C0750554;C0870433;C4085546",NULL,NULL,2354
"non trial antiplatelet","C0008976;C1518422","","",1191
"hba $nmbr$ c distribution at baseline","C0019016;C0168634;C0520511;C1442488;C1704711;C1825777;C3538758","","",820
"no infarct visible","C0021308;C0205379","C0021308","",1288
"men n $nmbr$ vs $nmbr$","C0025266",NULL,NULL,1842
"data are mean sd or n ace angiotensin converting enzyme arb angiotensin receptor blocker chf congestive heart failure any use in $nmbr$ h before surgery except for aspirin which only required any use in the $nmbr$ days before surgery","C0004057;C0018802;C0022709;C0033727;C0034787;C0038894;C0038895;C0042153;C0205171;C0369286;C0369718;C0439228;C0441922;C0441932;C0444504;C0457083;C0543467;C0564385;C1274039;C1511726;C1514873;C1622222;C1720467;C1947944;C2347634;C2348143;C2699239;C3245479;C3714741;C3888198;C4528284","","",-10
"net adverse clinical events at day $nmbr$","C0205210;C0332173;C0439228;C0439505;C0877248;C1456447;C1705413;C3853572;C3887809;C3890893","C0877248","",47
"pre bronchodilator","C2599602",NULL,NULL,682
"no family history of chd n $nmbr$ $nmbr$","C0241889;C0280604;C3542407","C0241889","",1493
"stenosis as assessed by core laboratory","C0022877;C0444669;C0678234;C1167518;C1261287;C1516048;C1706352;C1882467;C2632116;C3244292;C3274653;C4283904",NULL,NULL,1548
"mean sd swollen joint count","C0444504;C0451521;C2347634;C2348143;C2699239",";C0451521","",1140
"total bleeds","C0232100",NULL,NULL,1685
"number of co aeds n","C0180309;C0237753;C0449788;C3245499",NULL,NULL,1557
"adjusted mean change kg","C0022718;C0392747;C0439209;C0443172;C0444504;C0456081;C1705241;C2347634;C2348143;C4054209;C4319952",NULL,NULL,2326
"bmi kg m $nmbr$ a","C0578022;C1532718",NULL,NULL,1735
"age y gender n","C0001779;C0079399;C1522384","C0001779","",480
"ace inhibitors and arb","C0003015;C3888198",NULL,NULL,44
"group a","C0441835;C4522145",NULL,NULL,1640
"class ib","C0456387;C1518526;C1705943;C2744579;C3890035;C4283819",NULL,NULL,1398
"dlqi improvement from baseline to week $nmbr$","C0168634;C0332174;C0439230;C1442488;C2986411;C3899393",NULL,NULL,527
"bw at $nmbr$ weeks kg","C0005910;C0006041;C0022718;C0439209;C0439230;C2986891;C4054209",NULL,NULL,2326
"tiotropium n z $nmbr$","C0213771","C0213771","",1372
"placebo $nmbr$ year km","C0032042;C0439234;C0439508;C1696465;C1706408;C3887676","C0032042","",28
"diabetes p $nmbr$","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"deviation mm","C0012727;C0205419;C1705236;C4330985;C4554674",NULL,NULL,297
"ihd","C0151744","C0010054;C0151744","",1361
"apo b apo a l ratio mean","C0003592;C0444504;C0456603;C0523508;C1447574;C1547037;C2347634;C2348143;C4521365;C4553344","C0003592","",427
"primary indication","C1549995","C2986535","",230
"no ascvd","C3665365",NULL,NULL,344
"diabetes classificationa","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"baseline hdl c mg dl","C0168634;C0439269;C1442488;C3715113",NULL,NULL,2001
"men qvai $nmbr$ sfc","C0025266;C4521536",NULL,NULL,1283
"uric acid fertile $nmbr$ $nmbr$ $nmbr$ mg dl","C0015895;C0041980;C0439269",NULL,NULL,2310
"mean pga score sd","C0016410;C2699239;C3533236;C3541266;C4050369",NULL,NULL,1525
"no mi n $nmbr$ $nmbr$","C3810814",NULL,NULL,516
"crp mg dl mean sd","C0439269;C0444504;C2347634;C2348143;C2699239;C3890735;C4048285","C0006560","",286
"morphometric vertebral","C0200760;C0549207",NULL,NULL,928
"i $nmbr$ $nmbr$ ii","C0021966;C0221138;C1710602;C4082587",NULL,NULL,523
"bmi kg m $nmbr$","C0578022;C1532718",";C1305855","",206
"psoriatic arthropathy","C0003872","","",2176
"ics laba free or fdc","C0332296;C0340427;C0815320;C1413520;C1880497;C1996904;C3539652;C4551720",NULL,NULL,1650
"duration of t $nmbr$ dm y","C0011816;C0449238;C2926735;C3250443",NULL,NULL,901
"history of atherosclerotic vascular disease no","C0005847;C0333482;C0683519;C0730226;C0850708;C0944983;C1558950;C1801960","C0004153","",1698
"$nmbr$ $nmbr$ months","C0439231",NULL,NULL,1530
"net clinical benefit","C1456447;C3853572;C3887809;C3890893;C4684590",NULL,NULL,1081
"sbp difference","C0085805;C1705241;C1705242",NULL,NULL,1466
"previous diagnosis","C0332132",NULL,NULL,1045
"medication use at entry","C0240320;C1705654",NULL,NULL,119
"usa n $nmbr$","C0041703",NULL,NULL,1550
"physical activity kcal wk $nmbr$","C0015259;C0026606;C0332174;C0439230;C0439259","C0015259","",1380
"pretreatment triglycerides","C0041004;C1550147;C2709094;C3539075;C3539076","C0041004","",368
"mean s e","C0444504;C2347634;C2348143",NULL,NULL,37
"probenecid","C0033209","","",-10
"gastroduodenal","C0450199","C0450199","",341
"fvc post bronchodilator","C2599594;C3714541",NULL,NULL,680
"ischemic cerebrovascular disease n","C0007820;C0475224",NULL,NULL,728
"heart rate min","C0018810;C0702093;C1524029;C3813700","C0018810","",1105
"ldl cz","C0206578",NULL,NULL,1407
"ctn i ng ml","C0021966;C0221138;C0439275;C0917591",NULL,NULL,204
"total psa modified shs","C0392747;C2986589;C3889737",NULL,NULL,767
"additional antihypertensive subgroup","C0003364;C1079230;C1515021;C1524062",";C0003364","",1579
"duration of as n","C0369718;C0441922;C0449238;C2926735",NULL,NULL,1553
"fev $nmbr$ l","C3714541",NULL,NULL,1599
"ischemic aetiology","C0015127;C0475224;C1314792;C1524003",NULL,NULL,924
"ipf","C0034069;C1800706",";C1800706","",1254
"remission in overall population","C0032659;C0282416;C0544452;C0687702;C1257890;C1561607",NULL,NULL,1712
"lv hypertrophy n","C0149721","C0149721","",1496
"other risk factors","C0035648;C1553898",NULL,NULL,175
"$nmbr$ vitamin e","C0042874;C3714803","C0042874","",869
"kim $nmbr$ pg ml","C0439297",NULL,NULL,202
"fbg baseline","C0168634;C1442488",NULL,NULL,625
"ocs dose mean sd","C0178602;C0444504;C0869039;C1114758;C2347634;C2348143;C2699239",NULL,NULL,37
"adjusted or $nmbr$ ci p value","C0008107;C0456081;C1709380;C3259781",NULL,NULL,519
"oral hypoglycemic agentsj","C0359086","C0359086","",1744
"pre fev $nmbr$ pred","C0032952;C0044955;C0332152;C0740175;C2257086;C3669034;C3714541","C3714541","",296
"history of hypertension n","C0455527",NULL,NULL,1498
"ccbs","C0006684",NULL,NULL,704
"europe eu","C0015176;C0015179;C3665627","C0015176","",337
"uacr median iqr mg g","C0549183;C0876920;C1300563;C2347635;C2348144;C2939193",NULL,NULL,2315
"delayed reaction","C0205421;C0443286;C1545665;C3272602",NULL,NULL,317
"p value w","C1709380",NULL,NULL,7
"alpha $nmbr$ blockers","C0001641","C0001641","",961
"baseline data","C0168634;C1442488;C1511726;C3245479;C3714741",NULL,NULL,1427
"chads $nmbr$ score n","C0007928;C0369718;C0441922;C0449820;C1413373;C4050231","","",2128
"prevalent kidney disease egfr $nmbr$ ml min usm or maeroalbuminuria uacr $nmbr$ mg g","C0022658;C0033105;C0220900;C0439445;C1300563;C1739039;C3811844;C3812682",NULL,NULL,2315
"egfr median iqr ml min $nmbr$ $nmbr$ m $nmbr$","C0369637;C0439445;C0441923;C0549183;C0876920;C1739039;C2347635;C2348144;C2939193;C3811844;C3812682","C3811844;C0017654","",592
"p for trend","C0369773;C1521798;C2603361;C4554533",NULL,NULL,550
"crcl $nmbr$ $nmbr$ ml min","C0439445;C1846718","C3811844;C0017654","",307
"ga a","C0016993",NULL,NULL,1750
"angioedema present n","C0002994;C0150312;C0449450",NULL,NULL,2364
"efficacy n a","C1280519;C1707887","C1707887;C2349179","",1122
"age $nmbr$ years n $nmbr$","C1510829","C1510829","",481
"concomitant corticosteroid use n","C0239126;C0521115","C0239126",";C0168634;C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761;C1425988;C1947944",120
"black race n","C0005680",NULL,NULL,966
"femoral access","C0015811;C0444454;C1554204",NULL,NULL,512
"exact pro total score mean sd","C0033382;C0444504;C0523852;C2347634;C2348143;C2699239;C2828393;C2964552;C2987124;C4050514",NULL,NULL,1291
"ratet $nmbr$ cl","C0596019",NULL,NULL,974
"fp sal $nmbr$ $nmbr$ pg n $nmbr$","C0016704;C0030827;C0036140;C0037494;C0072225;C0206136;C1266240;C1419068;C1419906;C3541238;C3541412",NULL,NULL,853
"chronic sinusitis nasal polypsd n","C0028429;C0149516;C4520890",NULL,NULL,1838
"dose ratio at week $nmbr$ $nmbr$ cl","C0178602;C0332174;C0439230;C0456603;C0596019;C0869039;C1114758;C1547037",NULL,NULL,1012
"no ppi","C0358591;C0871125;C3811894",NULL,NULL,438
"sex male n $nmbr$","C0086582","C0086582","",1276
"total no of patients","C0030705;C0439175;C0439810",NULL,NULL,508
"pci $nmbr$ month ago","C0332177;C0439231;C4049621",NULL,NULL,1476
"beta blocker users","C0001645;C1706077","C0001645","",959
"qrs $nmbr$ ms $nmbr$ cl n $nmbr$ $nmbr$","C0596019;C2349943;C3539704;C3713294",NULL,NULL,126
"common study baseline","C0168634;C0205214;C0557651;C1442488;C1522138;C2603343;C3245511",NULL,NULL,625
"no st depression or elevation","C0439775;C0520887;C0702240",NULL,NULL,469
"periostin low","C0205251;C0219433;C1424662;C1550472;C3812270;C3890211;C4048187;C4321351;C4522223",NULL,NULL,851
"nternational index of","C0600653;C0918012;C1552854;C1637833;C2986546",NULL,NULL,734
"prior tnf antagonist failure n","C0231174;C0231491;C0332152;C0680095;C1448177;C2826257",NULL,NULL,2375
"any statin other llt","C0360714;C2347090","C0360714","",872
"p for inter act","C0079613;C0205103;C0369773;C1548610;C1704930;C1869853;C2603361;C3890007;C4048375","C1709380","",1986
"anti platelet therapy","C0005821;C0039798;C0087111;C1363945","","",1191
"prevalent vertebral fracture status","C0033105;C0080179;C0220900;C0449438",NULL,NULL,2023
"incidence rate n a","C1708485","C1708485","",1106
"symptomatic ich","C0019191;C0231220;C3272597;C3281105",NULL,NULL,1363
"n $nmbr$ allocation","C0369718;C0441922;C1706778",NULL,NULL,905
"py $nmbr$ $nmbr$","C0030428;C3538810",NULL,NULL,1517
"lm bifurcation treated","C0184906;C1261082;C1522326;C1551056;C3146289",NULL,NULL,893
"no prior stemi","C0332152;C1536220;C2826257;C3538872",NULL,NULL,570
"hazard ratiof $nmbr$ ci","C0008107;C0598697;C3259781",NULL,NULL,345
"disease location type terminal ileum","C0227327;C0450429;C0457464;C1515974;C4284930;C4284931",NULL,NULL,673
"$nmbr$ yrs sex","C0009253;C0036864;C0079399;C0804628;C1314687;C1522384",NULL,NULL,568
"$nmbr$ mm n $nmbr$","C4330985;C4554674",NULL,NULL,297
"p value placebo group p value hyponatremia normonatremic group tolvaptan vs hyponatremic vs placebo","C0020625;C0032042;C0441833;C0687744;C0857122;C1176308;C1257890;C1519504;C1696465;C1705428;C1705429;C1706408;C1709380;C4553967","","",-10
"radiographic progression based on change from baseline sdc","C0168634;C0242656;C0392747;C0443172;C0444708;C0449258;C1419891;C1442488;C1527178;C1705241;C1705938;C3273112;C4319952",NULL,NULL,625
"randomisation visit baseline","C0034656;C0168634;C0545082;C1442488;C1512346;C2826704",NULL,NULL,276
"systolic blood pressure $nmbr$ mm hg n","C0439475;C0488055;C0871470;C1306620","C0005823","",1469
"xi $nmbr$ l p $nmbr$ $nmbr$","C1720296",NULL,NULL,520
"heparin plus gpi n $nmbr$ $nmbr$","C0019134;C0332287;C0770546;C1415351","C0019134","",863
"ld","C0694649",NULL,NULL,1677
"renal function $nmbr$ egfr ml min $nmbr$ $nmbr$ m $nmbr$","C0232804;C0369637;C0439445;C0441923;C1739039;C3811844;C3812682","C3811844;C0017654","",592
"overall study population","C0282416;C1561607;C2348561",NULL,NULL,1732
"glycaemic control group","C0005802;C0009932",NULL,NULL,1639
"patients with bp $ $nmbr$ $nmbr$ mmhg abpm at baseline nt","C0030705;C0037623;C0168634;C0332126;C0439475;C1415692;C1442488;C1449832;C1708288;C3889152;C4050156;C4283901;C4284038;C4318478",NULL,NULL,608
"type b $nmbr$ c lesions n","C0221198;C0369718;C0441922;C1546698;C4264484",NULL,NULL,1553
"baseline ecrcl k $nmbr$ to $nmbr$ ml min","C0168634;C0439445;C0597277;C1442488;C1708601",NULL,NULL,625
"alc $nmbr$ $nmbr$ at baseline n","C0168634;C1424945;C1442488;C3811058",NULL,NULL,395
"non hdl cholesterol week $nmbr$","C0332174;C0439230;C0729627;C1535899","C0023822","",821
"trough seated dbp mmhg a","C0277814;C0439475;C0444506;C0536221;C1283233;C3813197;C4281799",NULL,NULL,605
"elevated troponin t $nmbr$ $nmbr$ xg l","C0017209;C0077404;C0205250;C1292284;C1420827;C1421532;C3163633",NULL,NULL,1605
"mean s d duration of t $nmbr$ dm years","C0011816;C0439234;C0444504;C0449238;C2347634;C2348143;C2926735;C3250443",NULL,NULL,901
"cigarette smoking in the past year","C0239059;C0700219;C4086728",NULL,NULL,797
"combined cardiac failure cardiomyopathy or other cardiac disorder n luts severity n","C0018787;C0018799;C0018801;C0018802;C0205195;C0439793;C0521117;C0522510;C0574785;C0878544;C1292730;C1522601","C0018801",";C0168634;C1524003",12
"smoking index pack yr","C0037369;C0439234;C0453996;C0600653;C0918012;C1552854;C1637833;C1881674;C1968515;C2825051;C2828395;C2986546",NULL,NULL,1099
"prediabetes n","C0362046","C0362046",";C0168634;C1334085;C1708411",910
"ischemic heart disease no","C0010054;C0151744","C0010054;C0151744","",1361
"pain","C0030193;C0518090;C1962977;C2984058;C4085210;C4085211;C4085212;C4553004;C4554132","C0030193","",1338
"$nmbr$ ml min $nmbr$ $nmbr$ m no","C0369637;C0439445;C0441923",NULL,NULL,923
"czp $nmbr$ mg n $nmbr$ $nmbr$","C0024671;C0026410;C0054841;C0439269;C1861828;C1872109;C1960952;C2346927;C4321396;C4521761",NULL,NULL,2274
"l $nmbr$ years","C0439234;C0439394;C1706495;C3642217",NULL,NULL,1099
"pre fvc pred","C0032952;C0044955;C0332152;C0740175;C2257086;C3669034;C3714541","C3714541","",296
"atrial fibrillation or flutter","C0004238;C0016385;C0344434;C1963067;C2242390",";C0004238","",1009
"hazard ratio and $nmbr$ confidence interval","C0009667;C2985465","C2985465","",975
"any established peripheral arterial disease","C0085096;C0443211;C1272684;C1704436","C0085096","",933
"all patients n $nmbr$ b","C0030705",NULL,NULL,1035
"amiodarone ote at baseline","C0002598;C0168634;C1442488","","",1757
"with p blockers","C0369773;C2603361",NULL,NULL,960
"duration of hypertension y","C0020538;C0449238;C1963138;C2926735","C0020538","",1364
"previous labd only","C0205156;C0205171;C0396059;C1552607;C1720467",NULL,NULL,925
"timi major minor bleeding","C0019080;C4441842",NULL,NULL,530
"univariable or $nmbr$ ci p value","C0008107;C1709380;C3259781",NULL,NULL,2154
"major gastro intestinal bleeding","C0017181;C0205082;C0205164;C4318856;C4521762","C0019080;C0205082","",2076
"l eft anterior descending coronary artery","C0226032;C0439394;C0451214;C1706495;C3642217","C0226032","",2098
"smoking history pack years","C1277691;C1519384","C1277691","",1297
"interval of $nmbr$ yr since diagnosis of type $nmbr$ diabetes no","C0011847;C0011849;C0011900;C0439234;C1272706;C1320657;C1550351;C1552654;C1552713;C1704338;C1704656",NULL,NULL,1099
"carrier n $nmbr$","C0007294;C0560175;C1325398;C1706209;C3273162",NULL,NULL,784
"diuretic no total no","C0012798;C0439175;C0439810",NULL,NULL,508
"baseline tava","C0168634;C1442488",NULL,NULL,625
"conventional synthetic dmard use at baseline","C0042153;C0168634;C0242708;C0439858;C0457083;C1442488;C1883254;C1947944",NULL,NULL,625
"death q mi idr","C0011065;C1306577;C3810814;C4082313;C4552775","C0011065","",220
"previous ischemic stroke ortia","C0205156;C0948008;C1552607",NULL,NULL,1669
"mca","C0149566",NULL,NULL,1123
"hr $nmbr$ cl $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$","C0596019",NULL,NULL,658
"creatinine ciearance","C0010294;C1561535","C0812399",";C3889287;C0452249;C0522467;C1337213;C1576800;C3890003;C0005910;C0022718;C1305866;C1705104;C1705224;C3887665",79
"patients","C0030705",NULL,NULL,1035
"enthesitis score at baseline median iqr week $nmbr$","C0168634;C0332174;C0439230;C0449820;C0549183;C0876920;C1282952;C1442488;C2347635;C2348144;C2939193;C4050231","C1282952","",271
"standard therapy","C2936643",NULL,NULL,1646
"poslmenopausal ht","C0018510;C0677607","C0282402","",1043
"p blocker intake at randomisation n $nmbr$","C0034656;C0369773;C1512806;C2603361",NULL,NULL,1823
"investigations","C1261322",NULL,NULL,896
"any vte related death","C0425043;C0630906","C1861172","",318
"data are number of patients or mean sd unless otherwise indicated cabg coronary artery bypass grafting ptca percutaneous transluminal coronary angioplasty ldl low density lipoprotein hdl high density lipoprotein iqr i nterquarti le range hmg coa ri $nmbr$ hydroxy $nmbr$ methylglutaryl coenzyme a reductase inhibitor bmi body mass index which is weight in kg divided by the square of height in metres median iqr","C0005910;C0009235;C0010055;C0021966;C0022718;C0023190;C0023821;C0023823;C0035487;C0043100;C0047420;C0162577;C0189695;C0205120;C0221138;C0332849;C0439090;C0439209;C0444504;C0475209;C0489786;C0522520;C0522523;C0545743;C0549183;C0597153;C0700307;C0876920;C1305855;C1305866;C1423767;C1444656;C1511726;C1514721;C1522231;C1548817;C1552595;C1655741;C1705104;C1826843;C2347634;C2347635;C2348143;C2348144;C2348147;C2360800;C2697858;C2699239;C2936173;C2939193;C3245479;C3542016;C3714741;C4054209",NULL,NULL,1287
"uric acid mg dl","C0041980;C0439269",NULL,NULL,2310
"pe with without dvt","C0070939;C0149871;C1880476;C2926618;C3899446;C4284304",NULL,NULL,1516
"week","C0332174;C0439230",NULL,NULL,1012
"chronic obstructive lung disease","C0024117",NULL,NULL,1726
"aes related to","C0040363;C0041260;C0439849;C0445223;C1412268;C1883351;C2699274","C0877248","",47
"epa treatment n $nmbr$","C0039798;C0087111;C1522326;C1533734;C1705169;C3538994;C3887704",NULL,NULL,236
"previous balloon angioplasty","C0002996;C0002997;C0205156;C1552607","C0002996","",1721
"prebronchodilator fev $nmbr$ mean sd l","C0444504;C2347634;C2348143;C2599602;C2699239;C3714541",NULL,NULL,1599
"percent stenosis core lab","C0439165;C0678234;C1261287;C2632116;C4684837",NULL,NULL,1651
"high dose edoxaban n $nmbr$","C0444956;C2975435","C0444956","",111
"high i $nmbr$ kg m $nmbr$ baseline bmi","C0021966;C0168634;C0205250;C0221138;C0578022;C1299351;C1442488;C1532718;C2700149;C3887512;C3889660;C4321237;C4522209",";C1305855","",206
"previous tia or stroke","C0007787;C0038454;C0205156;C0917805;C1054154;C1552607;C4554100",NULL,NULL,1592
"statin treatment","C0039798;C0087111;C0360714;C1522326;C1533734;C1705169;C3538994;C3887704","C0360714","",872
"control baseline n $nmbr$","C0168634;C0243148;C1442488;C1550141;C1882979;C2587213;C3274648;C4553389",NULL,NULL,675
"diameter stenosis mean sd","C0552409;C0678234;C1261287;C2632116;C2699239",NULL,NULL,1651
"smoking ex smoker","C0037369;C0337671;C0453996;C1881674;C4555205","C0037369","",420
"$nmbr$ ky nr","C0027496;C3844738",NULL,NULL,1477
"angiographic extent of disease","C0002978;C0449279;C4553144","C0449279","",1809
"race or ethnicity n","C0015031;C0034510;C0243103;C1706779;C3853635",NULL,NULL,787
"deaths n","C0011065;C1306577",NULL,NULL,1855
"diabetic","C0241863",NULL,NULL,996
"duration from hospital admission to pci h median iqr","C0019994;C0033727;C0369286;C0441932;C0449238;C0549183;C0564385;C0876920;C1510665;C1959907;C2347635;C2348144;C2926735;C2939193;C4049621;C4528284",NULL,NULL,635
"baseline glycated","C0168634;C1442488;C3666909",NULL,NULL,625
"antiarrhythmic drug","C0003195;C0301380","C0003195","",379
"baseline diabetes mellitus therapy n","C0168634;C0948092;C1442488","C0011849;C1442488","",2191
"statin with fibrate","C0360714","C0360714","",872
"$nmbr$ antihypertensive medication","C0003364",";C0003364","",1579
