docid_page,row,col,value,baseline_level_1,arms,subgroup_name,outcomes,subgroup_name;p-interaction,measures;arms,arms;measures,measures,subgroup_level,arms;p-interaction;other,arms;measures;p-interaction,arms;other
29338762_1,15,7,4.0 (2.7),"SJC, 0-28",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,15,8,0.6 (1.1),"SJC, 0-28",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,2,12.3 (16.4),"CRP, mg/L",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,3,11.9 (13.9),"CRP, mg/L",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,4,5.9 (5.9),"CRP, mg/L",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,5,12.8 (18.0),"CRP, mg/L",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,6,6.0 (6.5),"CRP, mg/L",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,7,10.4 (13.1),"CRP, mg/L",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,16,8,5.2 (3.3),"CRP, mg/L",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,2,22.2 (13.1),"ESR, 0-100 mm/hour",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,3,22.2 (12.9),"ESR, 0-100 mm/hour",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,4,9.9 (7.2),"ESR, 0-100 mm/hour",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,5,21.7 (13.4),"ESR, 0-100 mm/hour",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,6,10.7 (8.6),"ESR, 0-100 mm/hour",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,7,20.4 (12.1),"ESR, 0-100 mm/hour",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,17,8,9.6 (6.0),"ESR, 0-100 mm/hour",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,2,4.1 (1.3),"PGA, 0-10",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,3,4.0 (1.3),"PGA, 0-10",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,4,1.1 (0.9),"PGA, 0-10",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,5,4.0 (1.3),"PGA, 0-10",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,6,1.2 (1.1),"PGA, 0-10",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,7,4.2 (1.3),"PGA, 0-10",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,18,8,1.1 (0.8),"PGA, 0-10",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,2,4.9 (1.7),"PtGA, 0-10",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,3,4.9 (1.8),"PtGA, 0-10",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,4,1.8 (1.7),"PtGA, 0-10",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,5,4.8 (1.7),"PtGA, 0-10",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,6,1.8 (1.5),"PtGA, 0-10",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,7,4.6 (1.7),"PtGA, 0-10",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,19,8,1.9 (1.6),"PtGA, 0-10",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,2,43.4 (17.0),"General health VAS, 0-100 mm",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,3,43.2 (17.3),"General health VAS, 0-100 mm",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,4,14.1 (15.8),"General health VAS, 0-100 mm",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,5,41.5 (15.5),"General health VAS, 0-100 mm",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,6,14.8 (15.0),"General health VAS, 0-100 mm",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,7,40.9 (15.6),"General health VAS, 0-100 mm",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,20,8,15.1 (15.5),"General health VAS, 0-100 mm",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,2,45.5 (17.4),"Pain VAS, 0-100 mm",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,3,46.1 (17.8),"Pain VAS, 0-100 mm",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,4,12.8 (15.5),"Pain VAS, 0-100 mm",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,5,43.1 (16.1),"Pain VAS, 0-100 mm",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,6,13.8 (14.8),"Pain VAS, 0-100 mm",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,7,44.1 (16.3),"Pain VAS, 0-100 mm",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,21,8,14.2 (15.6),"Pain VAS, 0-100 mm",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,2,1.1 (0.6),"Total HAQ, 0-3",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,3,1.1 (0.6),"Total HAQ, 0-3",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,4,0.5 (0.5),"Total HAQ, 0-3",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,5,1.1 (0.6),"Total HAQ, 0-3",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,6,0.5 (0.5),"Total HAQ, 0-3",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,7,1.1 (0.6),"Total HAQ, 0-3",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,22,8,0.5 (0.4),"Total HAQ, 0-3",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,23,2,ETN 50 mg + MTX N = 709,Radiographic characteristics at baseline and randomization,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,23,3,ETN 50 mg + MTX n = 184,Radiographic characteristics at baseline and randomization,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,23,5,ETN 25 mg + MTX n = 184,Radiographic characteristics at baseline and randomization,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,23,7,MTX n = 167,Radiographic characteristics at baseline and randomization,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,2,Week 0,NA,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,3,Week 0,NA,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,4,Week 36,NA,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,5,Week 0,NA,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,6,Week 36,NA,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,7,Week 0,NA,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,24,8,Week 36,NA,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,2,39.3 (55.3),mTSS (0-448),ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,3,42.6 (58.8),mTSS (0-448),ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,4,42.7 (58.8),mTSS (0-448),ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,5,39.1 (60.3),mTSS (0-448),ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,6,38.9 (59.8),mTSS (0-448),ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,7,42.3 (47.5),mTSS (0-448),MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,25,8,42.4 (47.6),mTSS (0-448),MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,2,24.8 (33.2),Erosion score (0-280),ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,3,25.8 (34.6),Erosion score (0-280),ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,4,25.8 (34.6),Erosion score (0-280),ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,5,24.7 (36.8),Erosion score (0-280),ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,6,24.7 (36.5),Erosion score (0-280),ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,7,26.2 (28.1),Erosion score (0-280),MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,26,8,26.1 (28.1),Erosion score (0-280),MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,2,14.5 (23.6),JSN score (0-168),ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,3,16.8 (25.3),JSN score (0-168),ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,4,16.9 (25.4),JSN score (0-168),ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,5,14.4 (24.8),JSN score (0-168),ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,6,14.2 (24.6),JSN score (0-168),ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,7,16.1 (21.1),JSN score (0-168),MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,27,8,16.1 (21.2),JSN score (0-168),MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29406853_1,2,2,63 (57-70),"Age, yrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,2,3,68 (62-73),"Age, yrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,2,4,<0.0001,"Age, yrs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,3,2,"10,149 (81.0)",Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,3,3,"5,951 (69.2)",Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,3,4,<0.0001,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,4,2,"10,746 (85.6)",Caucasian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,4,3,"7,579 (88.1)",Caucasian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,4,4,<0.0001,Caucasian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,5,2,"3,480 (27.7)",Diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,5,3,"3,324 (38.7)",Diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,5,4,<0.0001,Diabetes mellitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,6,2,"9,603 (76.5)",Hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,6,3,"6,800 (79.1)",Hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,6,4,<0.0001,Hypertension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,7,2,"9,881 (78.7)",Hyperlipidemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,7,3,"6,359 (74.0)",Hyperlipidemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,7,4,<0.0001,Hyperlipidemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,8,2,"2,322 (18.5)",Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,8,3,"1,212 (14.1)",Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,8,4,<0.0001,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,9,2,"2,630 (21.2)",eGFR <60 ml/min/1.73 m2*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,9,3,"2,218 (26.1)",eGFR <60 ml/min/1.73 m2*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,9,4,<0.0001,eGFR <60 ml/min/1.73 m2*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,10,2,"2,199 (17.5)",CHF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,10,3,"2,025 (23.5)",CHF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,10,4,<0.0001,CHF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,11,2,736 (5.9),PAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,11,3,407 (4.7),PAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,11,4,<0.0001,PAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,12,2,"6,897 (55.0)",Qualifying MI: STEMI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,12,3,"4,432 (51.6)",Qualifying MI: STEMI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,12,4,<0.0001,Qualifying MI: STEMI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,13,2,858 (6.8),Prior CABG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,13,3,117 (1.4),Prior CABG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,13,4,<0.0001,Prior CABG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
29406853_1,14,2,"11,679 (93.0)",Prior PCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MVD (n - 12,558)"
29406853_1,14,3,"5,888 (68.5)",Prior PCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No MVD (n - 8,600)"
29406853_1,14,4,<0.0001,Prior PCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,p Value
