"";"terms"
"687";"<65 years of age"
"688";"<65 Years of Age"
"689";"<65 years, n (%)"
"690";"<65 yo (N=2306)"
"691";"<65 yr"
"692";"<65 yr — no. (%)"
"693";"<65 yr(n = 367)"
"694";"<65 yrs"
"695";"<65 yrs of age (n = 3,239)"
"696";"<66 yr"
"697";"<67 mg/dl"
"698";"<69 yr"
"699";"<7 years"
"700";"<7.9 mmol/liter"
"701";"<70 kg"
"702";"<70 yr"
"703";"<70 yrs"
"704";"<73 mm Hg"
"705";"<73 mm Hg Heart rate"
"706";"<75 Baseline Killip class"
"707";"<75 beats/min"
"708";"<75 mm Hg"
"709";"<75 y (n=8932)"
"710";"<75 yea's"
"711";"<75 years"
"712";"<75 Years"
"713";"<75 years (placebo n =7,051; saxagliptin n =7,111)"
"714";"<75 yr"
"715";"<75 Yr"
"716";"<75 yr — no. (%)"
"717";"<75 yr (N = 5337)"
"718";"<75.5 bpm"
"719";"<77 bpm (n=3144)"
"720";"<77 yr"
"721";"<8 days"
"722";"<8 years"
"723";"<8% (<64 mmol/mol)"
"724";"<8% (64 mmol/mol)"
"725";"<8.0% (64 mmol/mol)"
"726";"<8.5 mg/dL"
"727";"<80 kg"
"728";"<80 kg, n (%)"
"729";"<80kg"
"730";"<82.0 kg"
"731";"<85 mg/dl"
"732";"<850 beds"
"733";"<9 months"
"734";"<9 yr"
"735";"<9 yr— no. {%)"
"736";"<9.0% ( <75 mmol/mol)"
"737";"<90 kg"
"738";"<90 ml/minute)"
"739";"<90 mmHg"
"740";"<950 ft"
"741";"<97 mg/dL"
"742";"<99 cm"
"743";"<l0 years"
"744";"<Mean"
"745";"<median"
"746";"<Median (0.37 years)—number/N (%)"
"747";"<Median (0.5)—number/N (%)"
"748";"<Median (1.375)—number/N (%)"
"749";"<Median (4.5)—number/N (%)"
"750";"<Median (5.4)—number/N (%)"
"751";"<median (54 Year-old)"
"752";"<Median (62)—number/N (%)"
"753";"<Median (7 days)"
"754";"<Median {7 days)"
"755";"<Median prednisone dose,n (%)"
"756";"<Q1 (0)—number/N (%)"
"757";"<Q1 (1.5)—number/N (%)"
"758";"<Q1 (2)—number/N (%)"
"759";"★Reported by physicians. tData are median (IQR). All data are mean (SD) or number (%) unless otherwise indicated."
"760";"卞at discharge."
"761";"赛 65 years"
"762";"≤  Median"
"763";"≥ 2 years"
"764";"= calcium channel blocker;BMI = body"
"765";"= cerebrospinal fluid."
"766";"= ezetimibe; TC = triglycerides; HDL-C = lg/dL L> 7.0 mmol/L]). To qualify as having"
"767";"= International Prostate Symptom Score;"
"768";"≤ median"
"769";"= placebo; EZE :tes (FC J>126 rr 1 definition)."
"770";"= placebo; EZE = ezetimibe; erol; Apo = apolipoprotein; metabolic syndrome, patients were eans and percentage changes are"
"771";"≤ 58 mmol/mol (7.5%), N (%)"
"772";"≥ 64 mmol/mol (8.0%), N (%)"
"773";"≥1 AE"
"774";"≥1 SAE"
"775";"≥1 TEAE"
"776";"≤1 U/kg/day"
"777";"≤1 year"
"778";"≥10 years"
"779";"≥10.0% (≥86 mmol/mol)"
"780";"≥100 to <130 mg/dL"
"781";"≥126 to <150 mg/dL"
"782";"≥13.1 to <19.3 years"
"783";"≥130 to <160 mg/dL"
"784";"≥133 to <165 mg/dL"
"785";"≥150 mg/dL"
"786";"≥150 to <200 mg/dL"
"787";"≥150 to <220 mg/dL"
"788";"≥160 mg/dL"
"789";"≥160 to <190 mg/dL"
"790";"≥165 to <226 mg/dL"
"791";"≥18 to <25 mg/dL"
"792";"≥19.3 years"
"793";"≥190 mg/dL"
"794";"≥200 mg/dL"
"795";"≥220 to <300 mg/dL"
"796";"≥226 mg/dL"
"797";"≥24, kg/m2"
"798";"≥242 ng/mL"
"799";"≥25 to <32 mg/dL"
"800";"≥28 kg/m2"
"801";"≥30 kg/m2"
"802";"≥30 mg/dL"
"803";"≥30 to <300 mg/g"
"804";"≥30 to <45 mL/min/1.73 m2"
"805";"≥30 to <50 mg/dL"
"806";"≥300 mg/g"
"807";"≥32 to <43 mg/dL"
"808";"≥35 kg/m2"
"809";"≤40 years"
"810";"≥43 mg/dL"
"811";"≥45 to <60 mL/min/1.73 m2"
"812";"≥5 years"
"813";"≤5 years"
"814";"≥50 mg/dL"
"815";"≤500 ug/g"
"816";"≥508 ng/mL"
"817";"≤6 mg/L"
"818";"≥60 mL/min/1.73 m2"
"819";"≥60 to <90 mL/min/1.73 m2"
"820";"≥60 years"
"821";"≥65 to <75 years"
"822";"≥65 years"
"823";"≥65 Years"
"824";"≥7.5% and <9.0%"
"825";"≥75 yearsa"
"826";"≥75a(N=38)"
"827";"≥75a(N=41)"
"828";"≥75a(N=47)"
"829";"≥77 bpm (n=3357)"
"830";"≥80 mL/min"
"831";"≥9.0% and ≤10.5%"
"832";"≥90 mL/min/1.73 m2"
"833";"≥97 to <133 mg/dL"
"834";"=sia"
"835";">-2.5 - VFx"
"836";">-2.5 + VFx"
"837";">-2.5 and <-1.0"
"838";">-3 cm"
"839";">  Median"
"840";"> < 0.05,    < 0.01, r< MMSE = Mini-Mental ;"
"841";"> 1 Concomitant medication"
"842";"> 1 med at baseline Cardiac disorder*"
"843";"> 10 years"
"844";"> 10 years vs. ≤ 2 years"
"845";"> 100 mg"
"846";"> 130 mmHg"
"847";"> 15 yrs"
"848";"> 160 mg/dL EZE/SIMVA"
"849";"> 160 mg/dL EZE/SIMVA („ = 899)"
"850";"> 160 mg/dL EZE/SIMVA 0 = 899}"
"851";"> 160 mg/dL SIMVA"
"852";"> 160 mg/dL SIMVA („ = 914)"
"853";"> 160 mg/dL SIMVA 0 = 914]"
"854";"> 160mg/dL CHD status"
"855";"> 1st and < 2nd quartile"
"856";"> 2 to ≤ 5 years vs. ≤ 2 years"
"857";"> 2 years"
"858";"> 24 hr"
"859";"> 2nd and < 3rd quartile"
"860";"> 3 days"
"861";"> 3.5 vs. 2.1 to ≤ 3.5"
"862";"> 30 kg/m2"
"863";"> 30 kg/m2 Smokers"
"864";"> 300 cells/pl"
"865";"> 300 cells/ul"
"866";"> 33.9 mg/mmol"
"867";"> 3rd quartile"
"868";"> 40 and ≤ 60 vs. ≤ 40"
"869";"> 40 to ≤ 60 vs. ≤ 40"
"870";"> 40 years vs. ≤ 40 years"
"871";"> 47 min"
"872";"> 5 and < 10 years"
"873";"> 5 to S 15 yrs"
"874";"> 5 to ≤ 10 years vs. ≤ 2 years"
"875";"> 5 years"
"876";"> 5 years vs. ≤ 5 years"
"877";"> 5 yr since menopause"
"878";"> 50 years"
"879";"> 55 years"
"880";"> 6 month n = 367"
"881";"> 60 and ≤ 80 vs. ≤ 40"
"882";"> 60 and ≤ 80 vs ≤ 40"
"883";"> 60 mL/min"
"884";"> 60 to ≤ 80 vs. ≤ 40"
"885";"> 60 years"
"886";"> 60 years 47 / 1425 (7.4)"
"887";"> 62.5 yrs"
"888";"> 65 years"
"889";"> 65 years (%)"
"890";"> 65 years Baseline LDL-C"
"891";"> 65 Years EZE/SIMVA („ = 319}"
"892";"> 65 Years EZE/SIMVA (n = 319)"
"893";"> 65 Years EZE/SIMVA Baseline LDL-C"
"894";"> 65 years old"
"895";"> 65 Years SIMVA"
"896";"> 65 Years SIMVA („ = 286}"
"897";"> 65 Years SIMVA (n = 286)"
"898";"> 65 years, n (%)"
"899";"> 65 yr"
"900";"> 7 years"
"901";"> 720 min"
"902";"> 74.5 min"
"903";"> 75 mg"
"904";"> 75 years"
"905";"> 75 years BMI"
"906";"> 75 years, n (%)"
"907";"> 75 yr"
"908";"> 8 % and <9 %"
"909";"> 8.0% and ≤ 9.0%"
"910";"> 80 mL min)1"
"911";"> 80 vs. ≤ 40"
"912";"> 9 % and <10 %"
"913";"> 9.0% and ≤ 10.0%"
"914";"> 90 mL/min/1.73 m2"
"915";"> IS years"
"916";"> l0 years"
"917";"> median"
"918";"> Median"
"919";"> median (2.8)"
"920";"> Median (21 mm)"
"921";"> Median (30 mm)"
"922";"> median (4.5)"
"923";"> Median (60%)"
"924";"> median (64)"
"925";"> Median (81 kg)"
"926";"> median 151.13"
"927";"> 58–< 64 mmol/mol (7.5–8.0%), N (%)"
"928";">= 35 kg/m2"
"929";">= 60 L/min"
"930";">= 60 l_/min"
"931";">= 60 yr"
"932";">= 75 years"
"933";">= 75 Years"
"934";">= 75 yr"
"935";">= 80 mL/mln"
"936";">= Median"
"937";">=1.9 to <10 ng/L (n=2033) n (%)"
"938";">=10 day s Initial Heparin Treatment Duration"
"939";">=10 days"
"940";">=10 to <26 ng/L (n=656) n (%)"
"941";">=10 years"
"942";">=100 kg"
"943";">=100 mmHg"
"944";">=140 mmHg"
"945";">=140 mmHq"
"946";">=26 ng/L (n=375) n (%)"
"947";">=26 ng/L (n=617)"
"948";">=30 kg/mA2"
"949";">=300 mg/g"
"950";">=325 meters"
"951";">=5 years and < 10 years"
"952";">=60 Kg"
"953";">=60^ Initial Heparin Treatment Duration"
"954";">=60kg"
"955";">=65 yea's"
"956";">=65 years"
"957";">=65 years (n=2474)"
"958";">=65 years (placebo n =4,271; saxagliptin n =4,290)"
"959";">=75 years"
"960";">=75 Years"
"961";">=75 years (placebo n = 1,161; saxagliptin n =1,169)"
"962";">=8% and <9% (>=64and <75 mmol/mol)"
"963";">=9% (75 mmol/mol)"
"964";">=9.0% ( >=75 mmol/mol)"
"965";">=90-<100 mmHg"
"966";">=90 ml/min/1.73m2"
"967";">=medan (54 Year-old)"
"968";">=Median (7 days)"
"969";">=Medion (7 days)"
"970";">0 to <12-5 mg/week"
"971";">0% and <1% predicted ARR (n = 8,943)"
"972";">0.03 -g/L"
"973";">0.04 ng/ml"
"974";">0.76 HDL cholesterol level"
"975";">0.94 mmol/L"
"976";">1-42 mmol/L"
"977";">1-5 years"
"978";">1 AEs"
"979";">1 AEs leading to discontinuation"
"980";">1 Antihypertensive medication, No. (%)"
"981";">1 Corticosteroids or immunosuppressants"
"982";">1 DES type"
"983";">1 drug-related"
"984";">1 drug-related AEs*"
"985";">1 erosion, n (%)"
"986";">1 exacerbation in prev 12 m (n=294)"
"987";">1 exacerbation in prev 12 m (n=316)"
"988";">1 exacerbation in prev 12 m (n=333)"
"989";">1 exacerbation in prev 12 m (n=443)"
"990";">1 failure"
"991";">1 Failure"
"992";">1 Glucose-lowering medication. No. (%)"
"993";">1 oral antidiabetic medication"
"994";">1 Prior myocardial infarction — no. (%)"
"995";">1 serious AEs"
"996";">1 to <=5 years, n (%)"
"997";">1 to <2 h, n (%)"
"998";">1 to 5 years"
"999";">1 to 5 years"
"1000";">1 type"
"1001";">1 U/kg/day"
"1002";">1 year"
"1003";">1 yr"
"1004";">1 yr, n (%)"
"1005";">1% predicted ARR (n = 472)"
"1006";">1.05 mmol/liter"
"1007";">1.30 mmol/l"
"1008";">1.5 mg/dl"
"1009";">1.5 ng/ml (n = 257)"
"1010";">1.58 mmol/L"
"1011";">1.6 mg/dl"
"1012";">1/3 lung fields"
"1013";">1/day"
"1014";">1:11 hrs:min (n=739)"
"1015";">1+35 mmol/L"
"1016";">10-14 (moderate risk)"
"1017";">10 DA of capillary nonperfusion in the eyec"
"1018";">10 days"
"1019";">10 years"
"1020";">10 years to <20 years"
"1021";">10 yr"
"1022";">10 years"
"1023";">100 & <130 mg/dl"
"1024";">100 and <130 mg/dl"
"1025";">100 but <130 mg/dl"
"1026";">100 kg"
"1027";">100 mg"
"1028";">100 mg/dl"
"1029";">100 ng/L"
"1030";">1000b (109b to 121a)"
"1031";">1000b (124b to 156a)"
"1032";">1000b (259b to 382a)"
"1033";">101 mg/dl"
"1034";">110 cm"
"1035";">12-5 mg/week"
"1036";">12 months"
"1037";">12 Months"
"1038";">12 Months (n = 1,746)"
"1039";">12 years"
"1040";">12 years education"
"1041";">121 mg/dl"
"1042";">122.5 mm Hg"
"1043";">1275 ft"
"1044";">129 min"
"1045";">12months"
"1046";">12months, n (%)"
"1047";">13.5 mm"
"1048";">130 & <160 mg/dl"
"1049";">130 ^mol/liter — no. (%)"
"1050";">130 and <160 mg/dl"
"1051";">130 mg/dl"
"1052";"〉130 ml/min per 1.73 m2, n (%)"
"1053";">130 to <140 mm Hg"
"1054";">130/tmol/liter— no. (%)"
"1055";">135 to <150 mm Hg"
"1056";">136 mm Hg"
"1057";">14 (high risk)"
"1058";">140-<160 mmHg"
"1059";">140 (ml) Additional angiography"
"1060";">140 mg/dl"
"1061";">140 ml"
"1062";">140 mm Hg"
"1063";">140 mm Hg — no. (%)"
"1064";">140 mmHg"
"1065";">140/>90 mm Hg"
"1066";">15 drinks"
"1067";">15 drinks/wk"
"1068";">15 enroll"
"1069";">15 min"
"1070";">15 ml/s"
"1071";">15 years"
"1072";">15 yr"
"1073";">150 at screening"
"1074";">150 mg/dl"
"1075";">150 mg/dL"
"1076";">150 mg/dl — %"
"1077";">150 mm Hg"
"1078";">150 per pL at screening"
"1079";">150 to <300 cells/mm^"
"1080";">150 to <300 cells/mm’"
"1081";">1500 and <2000"
"1082";">1500 mg"
"1083";">160 mm Hg"
"1084";">164.34 mm Hg"
"1085";">18 mon (N=948)"
"1086";">180 mm Hg"
"1087";">2 and/or >1 moderate or severe deformity, or both (N = 759)"
"1088";">2 Antihypertensive Medications"
"1089";">2 CHD risk factors"
"1090";">2 CV risk factors^ or established atherosclerotic CV disease"
"1091";">2 CV risk factors咐 or established atherosclerotic CV disease"
"1092";">2 days"
"1093";">2 drinks/week"
"1094";">2 episodes of atrial fibrillation in previous 6 mo"
"1095";">2 exacerbations"
"1096";">2 Exacerbations"
"1097";">2 h, n (%)"
"1098";">2 hr"
"1099";">2 lesions per vessel"
"1100";">2 mg/liter"
"1101";">2 mo"
"1102";">2 months"
"1103";">2 OADs"
"1104";">2 Previous venous thromboembolisms (%)"
"1105";">2 servings/wk (n=127)"
"1106";">2 symptom days per week"
"1107";">2 vessels treated"
"1108";">2 vessels with >50% stenosis"
"1109";"〉2 years"
"1110";">2 years"
"1111";">2 yr"
"1112";">2% Blood Eosinophils at Baseline"
"1113";">2(1) drinks/day if male(female)"
"1114";">2(n=15l6)"
"1115";">2.12 mmol/liter"
"1116";">2.59 mmol/L"
"1117";">2/3 lung fields"
"1118";">20 mg"
"1119";">20 mg/d PEq"
"1120";">20 mg/day"
"1121";">20 mm Hg"
"1122";">20 ng/L"
"1123";">20 years"
"1124";">20 yrs"
"1125";">200 lb"
"1126";">200 mg/dl"
"1127";">200 mg/dl — %"
"1128";">2000 and <3000"
"1129";">21 kg/m2"
"1130";">23-^25 kg/m’"
"1131";">23-s25 kg/m’"
"1132";">24 kg/m2"
"1133";">25-<30kg/m2 (n = 327)"
"1134";">25-<s27 kg/m’"
"1135";">25-s27 kg/m’"
"1136";">25 kg/m2"
"1137";">25 to <50 ppb"
"1138";">25 years"
"1139";">250 microg/l"
"1140";">25kg/m2"
"1141";">27-^30 kg/m’"
"1142";">27-s30 kg/m’"
"1143";">27.2 kg/m2 Hypertension:"
"1144";">277.6 pmol/liter"
"1145";">277.6 pmol/liter hsCRP level"
"1146";">2to<59 ULN"
"1147";">3 additional CV risk factors11"
"1148";">3 diseased vessels"
"1149";">3 drinks/dav"
"1150";">3 hr"
"1151";">3 mg/L (n = 2139)"
"1152";">3 mm"
"1153";">3 oral agents"
"1154";">3.0 mg/l"
"1155";">3.0 mmol/liter"
"1156";">3.12 mmol/liter"
"1157";">3.4 mmol/l"
"1158";">3.4 mmol/L"
"1159";">3.5 vs. > 2.1 and ≤ 3.5"
"1160";">30 — no. {%)"
"1161";">30 —no. {%)"
"1162";">30 (moderate or high bleeding risk), No./total (%)"
"1163";">30 days"
"1164";">30 days to 1 year (n = 6501)"
"1165";">30 kg nr"
"1166";">30 kg/m^"
"1167";">30 kg/m^ (obesity)"
"1168";">30 kg/m’"
"1169";">30 kg/m2"
"1170";">30 kg/m2 (n — 221)"
"1171";">30 kg/m2 (n = 155)"
"1172";">30 ky/nr"
"1173";">30 mg/g"
"1174";">30 min"
"1175";">30 to <45 mL/min/L73nr"
"1176";">30 to <50 ml/min"
"1177";">30 to <60 eGFR, mL/min/1.73 m2 a"
"1178";">30 to <60 mg dL"
"1179";">30 to <60ml/min/1.73m2"
"1180";">30 to <700 IU/L"
"1181";">30 to 300 mg/g"
"1182";">30% and <50%"
"1183";">30% predicted to <50% predicted"
"1184";">30, No. (%)"
"1185";">30.0 kg/m2"
"1186";">300 cells/mm^"
"1187";">300 in previous"
"1188";">300 mg/g"
"1189";">300 per pL in 12 months before screening"
"1190";">33 mm Hg"
"1191";">35 kg/nr"
"1192";">4'01 mmol/L"
"1193";">4-1 mmol/L"
"1194";">4 hr"
"1195";">4 mmol/L"
"1196";">4 months, mean (SD)"
"1197";">4 months, median (min, max)"
"1198";">4 y Pathogenesis, n (%)"
"1199";">4.0 to <5.5 mU/L-mmol/L"
"1200";">4.0 to <5.5 mU/L$mmol/L"
"1201";">4.13 mmol/l"
"1202";">4.18mmol/L (n=730)"
"1203";">4/week"
"1204";">40 and <50%"
"1205";">40 mg/dl"
"1206";">40 mm"
"1207";">40 mm Hg"
"1208";">40 years"
"1209";">40, obesity class 3"
"1210";">40: obese class III"
"1211";">42 mm (n=555)"
"1212";">43 mg/dl"
"1213";">45 ml/min/1.73 m2"
"1214";">45 to <60 mL/min/L73nr"
"1215";">5-<15 years"
"1216";">5-10 years"
"1217";">5 - <15 years"
"1218";">5 to <10 years"
"1219";">5 to <15 yr"
"1220";">5 to 10 years"
"1221";">5 to 10 years"
"1222";">5 years"
"1223";">5 years, n (%)"
"1224";">5 yr"
"1225";">5.0 mg/liter"
"1226";">5.5 mmol/liter"
"1227";">5.5 to <8.5 mU/L-mmol/L"
"1228";">5.5 to <8.5 mU/L$mmol/L"
"1229";">5.8 mg/liter"
"1230";">5.8 mg/liter Antiplatelet agents"
"1231";">50-100 kg"
"1232";">50-60 yr"
"1233";">50 ml/min"
"1234";">50 mL/min"
"1235";">50 ml/min/1.73 m2"
"1236";">50 ng/L"
"1237";">50 ppb"
"1238";">50 to <80 ml/min"
"1239";">50 yr"
"1240";">50% coronary stenosis"
"1241";">50% predicted"
"1242";">50% responder rate, n (%)"
"1243";">50% stenosis of coronary, carotid, or lower extremity arteries"
"1244";">50% stenosis of major artery, n (%)"
"1245";">503 ug/g"
"1246";">51 ml/min/1.73 m2"
"1247";">55 y, n (%)"
"1248";">55 years to <65 years (n=2819)"
"1249";">59ULN"
"1250";">5yearstos IS years"
"1251";">6-21 mmol/L"
"1252";">6 hr"
"1253";">6 hrs"
"1254";">6 mg/L"
"1255";">6 mo"
"1256";">6 month n = 368"
"1257";">6 months"
"1258";">6 months—number/N (%)"
"1259";">6 weeks"
"1260";">6.21 mmol/l"
"1261";">60-67 years"
"1262";">60 CrCl"
"1263";">60 eGFR, mL/min/1.73 m2"
"1264";">60 kg"
"1265";">60 kg Body Weight at Randomization"
"1266";">60 mg/dL (>1.55 mmol/L)++"
"1267";">60 mi/min"
"1268";">60 ml/min"
"1269";">60 mL/min"
"1270";">60 ml/min/1.73 m2"
"1271";">60 ml/min/1.73 m2— no. (%)"
"1272";">60 mL/niin/L73ni-"
"1273";">60 mLYmin"
"1274";">60 to <90 eGFR, mL/min/1.73 m2 a"
"1275";">60 to <90 mg dL"
"1276";">60 to <90 ml/min/1.73 m^"
"1277";">60 to <90iiil/iiim/1.73 m2"
"1278";">60 years"
"1279";">60 years 47/1425(7.4)"
"1280";">60 yr"
"1281";">60.0 ml/min/1.73 m2"
"1282";">64 yr"
"1283";">65 mm Hg"
"1284";">65 to <75 years"
"1285";">65 to <75 yr"
"1286";">65 y (n=125)"
"1287";">65 y (n=127)"
"1288";">65 y, n (%)"
"1289";">65 y, No. (%)"
"1290";">65 years"
"1291";">65 years (n=1263)"
"1292";">65 years n Z 1330"
"1293";">65 years of age"
"1294";">65 Years of Age"
"1295";">65 years of age, n (%)"
"1296";">65 years to <75 years (n=3523)"
"1297";">65 years, n (%)"
"1298";">65 yr"
"1299";">65 yr — no. (%)"
"1300";">65 yr (%)"
"1301";">65 yr (n = 212)"
"1302";">65 yr From the United States"
"1303";">65 yrs"
"1304";">65 yrs of age (n = 3,116)"
"1305";">65 yrs Sex:"
"1306";">65, n (%) Gender, n (%)"
"1307";">65y,No. (%)"
"1308";">66 mg/dl"
"1309";">67 to <84 mg/dl"
"1310";">67 years"
"1311";">69 yr"
"1312";">7 years"
"1313";">7.5 mg/day, %"
"1314";">7.9 mmol/liter"
"1315";">70-90 kg"
"1316";">70-96 kg"
"1317";">70 & <100 mg/dl"
"1318";">70 and < 100 mg/dl"
"1319";">70 but <100 mg/dl"
"1320";">70 y, n (%)"
"1321";">70 years"
"1322";">70 years (n=556)"
"1323";">70 years, n (%)"
"1324";">70 yr"
"1325";">70 yr— no. {%)"
"1326";">70 yr — no. (%)"
"1327";">70 yrs"
"1328";">700 IU/L"
"1329";">73 mm Hg"
"1330";">75 (n, %) Weight, kg"
"1331";">75 beats/min"
"1332";">75 y (n=18)"
"1333";">75 y (n=19)"
"1334";">75 y (n=2010)"
"1335";">75 y (N=8474, 40.2%)"
"1336";">75 y. n (%)"
"1337";">75 years"
"1338";">75 years (n=1066)"
"1339";">75 years or <50 CrCl, n (%)"
"1340";">75 years, n (%)"
"1341";">75 yr"
"1342";">75 yr— no. (%)"
"1343";">75 yr— no. {%)"
"1344";">75 yr — no. (%)"
"1345";">75 yr —%"
"1346";">75 yr (N = 2471)"
"1347";">75 yrs"
"1348";">75.5 bpm"
"1349";">75.5 bpm Current smoker"
"1350";">77 bpm (n=3357)"
"1351";">77 yr"
"1352";">77 yr Sex"
"1353";">8% to <9% (>64 to <75 mmol/mol)"
"1354";">8% to <9% (>64 to 5 mmol/mol)"
"1355";">8%, n (% of patients)"
"1356";">8.5 mg/dL"
"1357";">8.5 mU/L- mmol/L"
"1358";">8.5 mU/L$ mmol/L"
"1359";">80 (n, %) CHADS2 score"
"1360";">80 kg"
"1361";">80 kg— no. (%)"
"1362";">80 ml/min"
"1363";">80 mL/min"
"1364";">80 mL/min (n=3880)"
"1365";">80, < 100 mg/dl"
"1366";">80, <100 mg/dl"
"1367";">80kg"
"1368";">82.0-97.3 kg"
"1369";">84 mg/dl Baseline high-sensitivity CRP"
"1370";">85 mm Hg"
"1371";">85 years"
"1372";">850 beds"
"1373";">87 bpm (n=13l8)"
"1374";">9 months"
"1375";">9 yr"
"1376";">9 yr— no. {%)"
"1377";">9% (>75 mmol/mol)"
"1378";">90 days (%)"
"1379";">90 eGFR, mL/min/1.73 m2 a"
"1380";">90 kg"
"1381";">90 mg dL"
"1382";">90 mL min-1 1.73 m'2"
"1383";">90 mL/min per 1-73 m2"
"1384";">90 mL/min per 1.73 m^"
"1385";">90 ml/min/1.73"
"1386";">90 ml/min/1.73 m^"
"1387";">90 ml/min/1.73 m2"
"1388";">90 mL/min/1.73m2"
"1389";">90ml/min/1.73"
"1390";">96 kg"
"1391";">97.3 kg"
"1392";">99-110 cm"
"1393";">II"
"1394";">l:36hrs:min (n=742)"
"1395";">lto £2 symptom days per week"
"1396";">lto<2 (n=951)"
"1397";">lto<2 (n=963)"
"1398";">Mean"
"1399";">median"
"1400";">Median"
"1401";">Median (0.37 years)—number/N (%)"
"1402";">Median (0.5)—number/N (%)"
"1403";">Median (1.375)—number/N (%)"
"1404";">Median (4.5)—number/N (%)"
"1405";">Median (5.4)—number/N (%)"
"1406";">Median (62)—number/N (%)"
"1407";">o-9-i-i"
"1408";">o-9-ii"
"1409";">Q1 (0)-Q2 (0.5)—number/N (%)"
"1410";">Q1 (1.5)-Q2 (4.5)—number/N (%)"
"1411";">Q1 (2)-Q2 (4.5)—number/N (%)"
"1412";">Q2 (0.5)-Q3 (5)—number/N (%)"
"1413";">Q2 (4.5)-Q3 (8.5)—number/N (%)"
"1414";">Q3 (5)—number/N (%)"
"1415";">Q3 (8.5)—number/N (%)"
"1416";">ULNand<20 ng/L"
"1417";">Year 1"
"1418";"± SD."
"1419";"±standard deviation. Triglyceride"
"1420";"«60 kg"
"1421";"»65 yr"
"1422";"»75 years"
"1423";"§ Classes on the Canadian Cardiovascular Society (CCS) scale range from I to IV,"
